"name","reviewCount","rating","published","title","content"
"Jan Rygaard",1,55,2022-12-13,"Home Assentoft Randers har solgt vores…","Home Assentoft Randers har solgt vores mors hus. De har været engageret og rettidige i salget.Det er dygtige medarbejdere med stor empati. Tusind tak"
"Kunde",2,55,2022-12-06,"Tilfreds med mit forløb ved Home – Kastrupvej","Jeg har været fuldt ud tilfreds med mit forløb ved Home – Kastrupvej. Markedet var ikke med os, men det er de jo trods alt ikke herre over. Alt taget i betragtning endte vi med en ok pris."
"Christina Foss",6,55,2022-12-02,"Super god service lige fra start til…","Super god service lige fra start til slut- rykkede mere end hurtigt ud da jeg skulle sælge. Fik forhandlet min lejlighed op på prisen og var rigtig gode til at holde mig opdateret hele vejen.. HOME HELSINGØR"
"Anne-Marie Pedersen",2,55,2022-11-24,"Home Odense Nord","Home Odense NordVi har haft den bedste mægler nogensinde, virkelig dygtig og professionel, hjælpsom og behagelig.Et lynhurtigt salg og helt igennem dygtig mægler.Tusind tak for hjælpen. Med venlig hilsen Anne-Marie Pedersen, Otterup"
"Marcus",2,25,2022-11-07,"Home Holbæk","Home HolbækEr utilfreds med servicen man får efter købet er sket. De svarer aldrig tilbage på ens henvendelse selvom de siger de vil, vedmindre man igen ringer til dem. De forklarede til gennemsynet, at vi ikke skulle betale vores ejendomsskat, som der så kom en rykker på efterfølgende. De giver en god service lige indtil papirerne er underskrevet, hvor man så føler at de har glemt en."
"Lisbet Rasmussen",11,55,2022-11-13,"Home Christianshavn er super dygtige","Vi har rigtig gode erfaringer med Home Christianshavn, og kan derfor varmt anbefale dem. De fik solgt vores bolig på utrolig kort tid, hvilket var en stor lettelse. Deres service har været helt i top, og de svarer lynhurtigt på spørgsmål via email og på telefon. Rådgivningen før, under og efter salget har været yderst professionel. Home Christianshavn hjalp os også med at finde vores nye lejlighed. Kort sagt, hele processen har været en rigtig god og tryg oplevelse. De fortjener hver eneste af de fem stjerner, som vi har givet dem."
"Else Marie Tambor",1,55,2022-11-09,"Home i Bramming har solgt vores hus på…","Home i Bramming har solgt vores hus på kort tid. Det har hele vejen igennem været en tryg og positiv oplevelse, både før, under og efter salget. Vi bliver orienteret hver gang der er nyt og de påminder og opfølger på alle aftaler. Der er ydet en virkelig god service også i weekender og de får derfor vores varmeste anbefalinger."
"Jimmy Nielsen",3,55,2022-11-12,"Fantastisk oplevelse hos Home Ikast","Fantastisk oplevelse hos Home Ikast. Super effektiv ejendomsmæglere der rammer rigtigt første gang og altid levere den bedste service. De er altid til stede når der er et behov og man er aldrig i tvivl om at man er i super professionelle hænder. De er i stand til at være yderst forstående og diskrete når situation kræve det.Kæmpe anbefaling her fra og det bliver helt sikkert ikke sidste gang at jeg benytter Home Ikast…Ps omkostninger ved salg hos Home Ikast er langt under alle andre ejendomsmæglere i området."
"Pernille Christensen",2,55,2022-11-16,"Fantastisk mægler!","Har både solgt hus, købt nyt hus og solgt igen via Home og det hele har været en helt igennem fantastisk oplevelse - med konkret besked om processen og stor flexibilitet for at få alle ender til at mødes. Følte mig så godt taget hånd om hele vejen igennem."
"Niels",2,55,2022-12-13,"Home Horsens solgte vores hus på 24 timer","Super service fra start til slut.Solgt på 24 timer i et presset marked i en præsset december måned i en presset verden - super"
"Allan Christiansen",19,55,2022-12-13,"Fint forløb fra start til slut","Fint forløb, vi lagde en plan har fulgt den og solgt efter 3 måneder i et svært marked.  Det forløb enkelt og velorganiseret."
"Mathias Emil Jensen",10,55,2022-11-04,"Home v/Hanne Faaborg - Kolding, Slotsallé","Vi har købt vores nye hus igennem Home V/Hanne Faaborg - En klar anbefaling herfra!Vi har haft en dejlig tryg og behagelig oplevelse. Der er en rigtig god service hele vejen rundt. Vores spørgsmål via e-mail er blevet besvaret meget hurtigt, og mægleren har altid været ved telefonen, hvis vi har haft ringet."
"Irene Jepsen",6,55,2022-12-06,"Jeg følte mig tryk ved at bruge jer ved…","Jeg følte mig tryk ved at bruge jer ved handlen. I er gode til at informere, hurtig og forståliget. Åben for andre løsninger. Mange tak til Home i Haderslev."
"Bjørn Bech-Nielsen",1,55,2022-12-12,"Hussalg","God og effektiv sagsbehandling hos Home Odder. Super venligst personale. Dejligt med åbne arbejdsgang som kan følges på My home."
"Maria",2,15,2022-11-01,"Home Gentofte - ikke igen","Efter tidligere både køb og salg af lejlighed samt en del tidligere fremvisninger, har vi aldrig mødt en arrogance og mangel på professionalisme, som det har været tilfældet med Home i Gentofte. Desværre var vores drømme lejlighed til salg hos dem, men da vi ikke ønsker for nogle andre (potentielle) købere, at de skal igennem det samme som os og stå med samme mistillid, hvor det er nemmere at kommunikere med sælger end mægler, går vi langt uden om Home i Gentofte, når vi engang skal sælge."
"Michael",7,55,2022-11-03,"Home Kalundborg er helt fantastisk","Home Kalundborg er helt fantastisk. Hvis du er i tvivl om, hvem der skal sælge din bolig, så gå med Home Kalundborg.Aldrig har jeg oplevet nogen gøre så meget for, at hjælpe med salget. De er tilgængelige alle ugens dage og stiller gerne personligt op, for at hjælpe med de sidste personlige detaljer."
"Nicolai Teglskov",21,55,2022-10-27,"Hus solgt på 33 dage","Tak til et fantastisk team i Home Støvring for at sælge vores hus på kun 33 dage. Vi har oplevet en suveræn service før, under og efter salget, hvor der hele vejen igennem har været en god og tydelig kommunikation. Vi har solgt vores hus til den pris, og på de vilkår vi ønskede takket været kyndig vejledning.Vi kan kun give vores varmeste anbefalinger."
"Solveig Christensen",17,55,2022-12-19,"Fin rådgivning","Home SorøEt fint samarbejde mellem sælger og mægler.Kompetent og forståelig rådgivning.Realistisk pris."
"Veronica",26,55,2022-10-28,"Kompetente og søde mæglere","Home Stenløse-Ølstykke har solgt vores hus på under 2 mnd. Gennem hele processen har vi følt os godt informeret og rådgivet. Vi har oplevet mæglere, der gør mere end forventet for at sikre at potentielle købere får en god oplevelse. Jeg vil til enhver tid anbefale home Stenløse-Ølstykke."
"Rikke Henneberg Birch",2,55,2022-10-20,"Home Viborg - fantastisk mægler og mennesker bag!!","Samarbejdet med Home Viborg om salg af mit hus har været enestående. Jeg har gennem hele processen følt mig helt tryg. Jeg har aldrig solgt hus før, og i disse tider er det ikke nemt, men alle mine spørgsmål har de taget med ophøjet ro og “holdt mig i hånden” hele vejen. Det har været en ærlig og åben proces hvor jeg har kunnet være helt rolig. TAK!!"
"Anna Mette Lønborg Andersen",32,55,2022-10-17,"Vi er så glade for at vi valgte Home","Vi er så glade for at vi valgte Home Esbjerg, vi har fået en fantastisk behandling, alle på kontoret er så flinke og venlige, en speciel tak til Bernhard for alle snakke. Også en speciel tak til Marianne hun er en fantastisk ejendomsmægler, hun udviste omsorg, ærlighed og var meget professionel.Vi  vil altid anbefale Home. Huset blev solgt indenfor en måned.Mange glade hilsner fra Kaj og Anna Mette Andersen Sædding"
"Sussi Aeroe Olsen",3,55,2022-11-04,"HOME i Solrød Center har gjort det…","HOME i Solrød Center har gjort det super super godt. Vi valgte #homesolrød fordi de mente at have købere i kartoteket - og dét have de. På kun 20 og 10 fremvisninger lykkes det Mikkel og Cecilie at finde ‘køberen’. Vi er SÅ glade for at vi valgt dem :)"
"Rikke Busch Pedersen",1,55,2022-10-21,"Kæmpe ros til Home i Esbjerg","Vi har netop solgt vores hus igennem Home i Esbjerg. Helt fra første vurderingsmøde har det været en super positiv oplevelse. Hele teamet er professionelle, engagerede, hårdtarbejdende, smilende og har taget hånd om vores salg på absolut bedste vis. Vi har hele vejen oplevet troværdighed, fleksibilitet og en kæmpe begejstring for lige præcis at sælge vores hjem Så kæmpe tak til Marianne og hele holdet og de varmeste anbefalinger fra os <U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F>Mange glade hilsnerRikke og Kent, Esbjerg"
"Jane",9,55,2022-12-10,"Hurtig og fair vurdering","Hurtig og fair vurdering, hurtig og effektiv igangssættelse af markedsføring. Holdt os fuldt opdateret i salgsforløb. Trygt."
"Oliver Gaarsdahl Andreasen",4,55,2022-11-01,"En super god oplevelse med Home Charlottenlund/Klampenborg","Vi solgte vores Villalejlighed igennem Home Charlottenlund/Klampenborg med Christopher Hulgard som formidler på sagen.Fra start en meget positiv, men samtidig seriøs og ærlig rådgivning omkring både strategi, prissætning samt timing i markedet.God sparing over telefon, som i øvrigt altid blev besvaret også udenfor ""normal åbningstid"" og aldrig et nej til fysisk møde efter arbejde.Vi havde en følelse af, at der altid var overblik over sagen og kunderne, samt at vi blev taget godt i hånden, hvis der var noget vi var i tvivl om.Vores Villalejlighed blev solgt og vi er meget tilfredse.5 stjerner herfra."
"Helle Brøner",10,55,2022-10-19,"Home Kolding Åpark","Home Kolding Åpark - professionelt, engageret, effektive, velforberedt og et super velfungerende samarbejde, som jeg er er meget taknemlig og begejstret for. Glad for jeg valgte med mavefornemmelsen, den ejendomsmægler der udstrålede største begejstring for min bolig, som blev solgt på 30 dage. TAK"
"Betina Gagsch Dallerup",7,55,2022-10-18,"Stor tak til Home Skibhusvej","Stor tak til Home Skibhusvej, som vi både brugte til salg af vores hus og køb af ny lejlighed. Rigtig god vejledning og støtte igennem hele processen. Vi følte virkelig, vi var i gode hænder. Fik huset solgt på 11 dage til prisen, og kan nu glæde os til at rykke videre til et nyt boligeventyr."
"Jonas Germann",16,25,2022-10-11,"Home Charlottenlund Klampenborg.","Home Charlottenlund Klampenborg.Venlig og imødekommende til start, men vores forløb endte med en rodet affære.Manglende tilbagemeldinger og for mange involverede. De virkede ikke sultne, og sparring og dialog var meget ringe.Vi følte ikke på noget tidspunkt os som sælgere i centrum.Vælg en anden mægler i området."
"Susanne Christensen",37,55,2022-12-16,"Home Frederikshavn … Effektive","Home Frederikshavn … Effektive, hjælpsomme og venlige.Informationerne er hurtige og forståelige .."
"Henrik Beyer",6,55,2022-10-04,"Home Slotsallé Kolding, lynhurtigt salg","Home Slotsallé KoldingLynhurtigt salg og fremragende rådgivning. Indehaveren Hanne har imponeret hele vejen igennem processen med professionel annoncering på de sociale medier, lynhurtig til at sikre aktivitet og fremvisninger - med hurtig opfølgning hver gang. Vi kan ikke være mere tilfreds og for at det ikke skal være løgn, fandt Hanne de helt rigtige købere."
"Pernille Skrubbeltrang",11,55,2022-10-06,"Home Vejgaard kan varmt anbefales :-)","Home Vejgaard får vores største anbefaling, vi har været rigtig glade for samarbejdet omkring salget af vores hus. De er professionelle, der er tilbagemelding efter hver fremvisning, og alle mæglere er meget behagelige at tale med. De har styr på tingene, og de har et stort kendskab til området omkring Vejgaard og omegn."
"Finn Hinrichsen",1,55,2022-11-16,"Super behandling af vores hussalg","Super behandling af vores hussalg. Dejlig personaleog vi følte os i rigtig gode hænder i hele forløbet.Home kan anbefales til alle kommende hushandlerAsta og Finn HinrichsenHaderslev"
"Pia",3,55,2022-09-28,"Hvis du vil have solgt din bolig- så vælg Home Espergærde","Jeg kan varmt anbefale Home i Espergærde, der solgte min bolig på bare 3 uger. De har været professionelle, velforberedte og effektive under hele forløbet. Mark mødte velforberedt op til prisfastsættelse og havde sat sig ind i hvad der ellers var til salg i området. Og May-Britt fik afsluttet handlen hurtigt og effektivt. Home Espergærde får de bedste anbefalinger herfra og jeg vil til enhver tid vælge dem igen."
"Annette og Claus Christensen",1,55,2022-09-27,"Home Silkeborg er toppen af poppen","Home Silkeborg har solgt vores villa på 1 måned. Vi har fået en meget behagelig, troværdig og professionel hjælp og vejledning. Hele holdet hos Home Silkeborg har engageret hjulpet os igennem hele processen fra start til slut.Informationsniveauet har været højt og vi har følt os trygge i deres hænder.Vi er “kommet godt hjem” med Home Silkeborg - tusind tak for det."
"Jens Overbye",3,55,2022-11-29,"Hurtig og god sagsbehandling","Home Virum har ydet hurtig og god sagsbehandling, god opfølgning på møder og fremvisninger og god rådgivning generel i.f.t. salg og køb af ejendom."
